Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
08 - Vice-Governadoria do Estado;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 -  ;4.108,46;3.851,31;3.486,01;3.498,63;3.308,55;3.583,42;3.509,21;3.455,05;3.303,43;3.610,24;5.721,81;4.248,66;45.684,78
25 - Secretaria de Estado de Administração Peniten;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 -  ;4.562,15;0;0;0;0;0;0;0;0;0;0;0;4.562,15
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 -  ;40.000,00;252.235,00;152.569,01;0;78.510,49;0;35.000,00;50.000,00;29.000,00;85.000,00;176.900,00;-236.558,58;734.555,92
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 -  ;1.632.954,00;10.000.000,00;0;1.000.000,00;2.500.000,00;481.253,00;0;0;0;0;0;-5.790,70;15.608.416,30
06 - Gabinete de Segurança Institucional do Estado;33901400 - Diárias - Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;253,5;0;0;0;0;0;0;0;581;0;0;0;834,5
06 - Gabinete de Segurança Institucional do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;182.739,00;454.789,59;265.773,62;182.290,60;179.201,27;177.857,20;210.290,60;182.265,34;99.157,00;295.425,20;577.293,00;-257.921,00;2.687.373,62
08 - Vice-Governadoria do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;700;2.900,00;1.250,00;665;735;700;700;700;700;6.100,00;665;-537,25;15.277,75
25 - Secretaria de Estado de Administração Peniten;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;2.891.170,07;5.327.240,68;891.497,28;0;0;-2.156.475,39;0;0;0;0;0;-144.202,05;6.809.230,59
51 - Secretaria de Estado de Polícia Militar      ;33901500 - Diárias - Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;1.628,00;-1.628,00;0;0;0;0;0;0;0;0;0;0;0
06 - Gabinete de Segurança Institucional do Estado;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;149.604,36;179.940,04;176.715,82;206.947,21;106.225,74;101.521,79;99.959,28;98.431,03;110.013,70;103.858,47;132.284,01;1.131.788,37;2.871.600,35
