Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
21 - Secretaria de Estado da Casa Civil;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;0467 -  ;1.000,00;0;0;0;0;0;0;0;0;0;0;-1.000,00;1.000,00
21 - Secretaria de Estado da Casa Civil;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;0467 -  ;2.000,00;0;0;0;0;0;0;0;0;-854,16;0;0;3.145,84
26 - Secretaria de Estado de Segurança;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;0467 -  ;2.600,00;0;4.184,81;2.207,25;2.403,67;2.713,58;2.733,14;2.671,83;2.994,32;2.770,34;2.193,94;4.878,16;34.720,33
21 - Secretaria de Estado da Casa Civil;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2010 -  ;78.946,98;85.000,00;278.315,00;0;0;0;100.000,00;90.000,00;-1.212,03;37.562,91;90.000,00;-23.671,16;913.521,70
21 - Secretaria de Estado da Casa Civil;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2016 -  ;471.939,95;0;392.892,46;4.000,00;5.206,48;0;8.000,00;4.700,00;749.071,49;155.080,00;885.034,30;-45.171,04;3.323.083,64
25 - Secretaria de Estado de Administração Peniten;33903600 - Outros Serviços de Terceiros - Pessoa Física;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2016 -  ;191.300,27;180.820,28;186.782,31;42.725,38;182.676,59;667.554,10;124.001,60;126.015,88;-521.646,72;0;86.562,63;153.911,80;1.420.704,12
25 - Secretaria de Estado de Administração Peniten;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2016 -  ;29.883,21;34.804,20;29.199,20;0;27.664,00;27.048,50;25.042,00;19.562,40;0;0;26.052,80;8.625,99;227.882,30
26 - Secretaria de Estado de Segurança;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2016 -  ;47.306,25;0;3.430,25;3.431,25;10.293,75;0;10.293,75;0;0;17.062,50;-26.681,40;-11.784,50;59.039,35
26 - Secretaria de Estado de Segurança;33903700 - Locação de Mão de Obra;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2016 -  ;2.763,58;0;0;0;-450,8;0;0;0;0;0;0;0;2.312,78
26 - Secretaria de Estado de Segurança;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - GESTÃO ADMINISTRATIVA;2016 -  ;763.865,30;733.413,06;6.815.702,66;3.166.704,65;6.011.385,70;1.814.399,42;520.404,63;-6.520.220,80;-1.479.947,38;241.941,44;1.742.665,77;-1.572.488,94;12.285.993,51
