Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
21 - Secretaria de Estado da Casa Civil e Desenvol;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 -  ;1.200,00;0;0;0;0;2.570,64;0;0;150.000,00;0;12.493,74;-33.788,71;132.475,67
26 - Secretaria de Estado de Segurança            ;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 -  ;2.841,35;3.015,52;2.630,97;3.660,84;10.314,54;2.730,37;2.505,70;2.617,83;2.586,41;2.500,02;2.534,78;4.842,39;42.780,72
21 - Secretaria de Estado da Casa Civil e Desenvol;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 -  ;195.000,00;30.000,00;60.000,00;251.478,00;90.000,00;0;257.652,00;0;0;136.990,00;0;11.615,81;1.111.737,81
21 - Secretaria de Estado da Casa Civil e Desenvol;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 -  ;398;0;0;0;0;0;0;0;0;0;0;0;398
21 - Secretaria de Estado da Casa Civil e Desenvol;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;305.792,00;4.000,00;6.000,00;274.792,00;0;-400;260.792,00;0;16.999,00;216.986,16;64.080,00;-126.392,03;1.080.597,13
26 - Secretaria de Estado de Segurança            ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;6.160,00;1.012.355,62;699.078,92;0;2.150,00;0;0;52.424,00;10.327,00;3.612,67;4.560,00;-201.285,44;1.591.773,27
26 - Secretaria de Estado de Segurança            ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 -  ;611.755,78;3.791.861,01;5.221.424,46;2.701.529,32;-496.289,06;2.970.847,59;2.117.692,19;1.768.345,17;3.663.283,70;6.114.619,31;4.918.431,42;-1.089.199,35;32.384.705,61
16 - Secretaria de Estado de Defesa Civil         ;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;736.108,04;752.879,17;755.081,07;766.940,39;754.954,48;742.264,76;734.688,93;759.773,63;731.630,97;763.027,66;742.169,64;728.700,89;9.729.093,58
16 - Secretaria de Estado de Defesa Civil         ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;759.766,90;798.564,92;722.073,01;761.022,04;752.866,85;753.364,13;715.494,72;492.437,11;707.120,99;710.838,91;708.435,93;798.597,14;8.994.083,90
16 - Secretaria de Estado de Defesa Civil         ;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;85.511.235,67;85.227.937,92;83.479.946,78;82.414.007,51;81.993.065,31;81.235.826,89;79.858.634,45;0;78.313.125,18;77.542.313,46;78.500.078,95;94.094.487,18;993.616.108,86
16 - Secretaria de Estado de Defesa Civil         ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;9.284,24;2.670,24;3.067,19;3.823,86;3.823,86;3.355,42;3.126,62;-482,88;943,6;943,6;943,6;1.970,23;34.768,49
16 - Secretaria de Estado de Defesa Civil         ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;210.513,70;219.171,78;206.912,28;194.786,15;248.777,52;232.264,80;225.436,99;216.794,65;225.295,09;219.200,52;220.760,37;269.550,77;2.956.340,70
